OBSNUM	XVAL	PROB_AVG	AREA1	AREACORR	AREATOT	PERCENT
34	0.17	0.00161294051296418	8.06470256482088e-06	8.52592557218045e-06	0.000104380046175041	0.425
35	0.175	0.0017063814988597	8.53190749429848e-06	9.0050943458941e-06	0.000113385140520935	0.4375
36	0.18	0.00180220541709675	9.01102708548374e-06	9.49607941625863e-06	0.000122881219937194	0.45
37	0.185	0.00190039264525145	9.50196322625726e-06	9.99878317702942e-06	0.000132880003114223	0.4625
38	0.19	0.00200092366186131	1.00046183093065e-05	1.05131085246329e-05	0.000143393111638856	0.475
39	0.195	0.00210377904599883	1.05188952299941e-05	1.1038958856043e-05	0.000154432070494899	0.4875
40	0.2	0.0022089394768468	1.1044697384234e-05	1.1576238066665e-05	0.000166008308561564	0.5
41	0.205	0.00231638573327516	1.15819286663758e-05	1.21248505482284e-05	0.000178133159109792	0.5125
42	0.21	0.00242609869341941	1.2130493467097e-05	1.26847011866869e-05	0.000190817860296479	0.525
43	0.215	0.00253805933426071	1.26902966713035e-05	1.32556953601267e-05	0.000204073555656606	0.5375
44	0.22	0.00265224873120751	1.32612436560375e-05	1.38377389366824e-05	0.000217911294593288	0.55
45	0.225	0.00276864805767877	1.38432402883938e-05	1.44307382724615e-05	0.00023234203286575	0.5625
46	0.23	0.00288723858468875	1.44361929234437e-05	1.50346002094759e-05	0.000247376633075226	0.575
47	0.235	0.00300800168043341	1.5040008402167e-05	1.56492320735815e-05	0.000263025865148807	0.5875
48	0.24	0.00313091880987831	1.56545940493915e-05	1.62745416724261e-05	0.000279300406821233	0.6
49	0.245	0.00325597153434815	1.62798576717408e-05	1.69104372934046e-05	0.000296210844114638	0.6125
50	0.25	0.00338314151111781	1.6915707555589e-05	1.75568277016217e-05	0.00031376767181626	0.625
51	0.255	0.00351241049300492	1.75620524650246e-05	1.8213622137863e-05	0.000331981293954123	0.6375
52	0.26	0.00364376032796407	1.82188016398203e-05	1.88807303165734e-05	0.000350862024270696	0.65
53	0.265	0.00377717295868244	1.88858647934122e-05	1.95580624238429e-05	0.000370420086694539	0.6625
54	0.27	0.00391263042217706	1.95631521108853e-05	2.02455291154008e-05	0.00039066561580994	0.675
55	0.275	0.00405011484939352	2.02505742469676e-05	2.09430415146168e-05	0.000411608657324557	0.6875
56	0.28	0.0041896084648063	2.09480423240315e-05	2.165051121051e-05	0.000433259168535067	0.7
57	0.285	0.00433109358602046	2.16554679301023e-05	2.23678502557655e-05	0.000455627018790832	0.7125
58	0.29	0.00447455262337505	2.23727631168753e-05	2.30949711647581e-05	0.00047872198995559	0.725
59	0.295	0.00461996807954784	2.30998403977392e-05	2.38317869115843e-05	0.000502553776867175	0.7375
60	0.3	0.00476732254916165	2.38366127458083e-05	2.45782109281012e-05	0.000527131987795276	0.75
61	0.305	0.00491659871839215	2.45829935919608e-05	2.53341571019728e-05	0.000552466144897248	0.7625
62	0.31	0.00506777936457715	2.53388968228858e-05	2.60995397747238e-05	0.000578565684671972	0.775
63	0.315	0.0052208473558274	2.6104236779137e-05	2.68742737398014e-05	0.000605439958411774	0.7875
64	0.32	0.00537578565063879	2.6878928253194e-05	2.76582742406436e-05	0.000633098232652417	0.8
65	0.325	0.00553257729750618	2.76628864875309e-05	2.84514569687552e-05	0.000661549689621172	0.8125
66	0.33	0.00569120543453849	2.84560271726925e-05	2.92537380617913e-05	0.000690803427682964	0.825
